# Start monitoring : /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/python /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/fc_run.py fc_run_dmagna_short.cfg
#
# System memory total  [MB]: 2068021
# - available at start [MB]: 1912681
# System swap total    [MB]: 0
# - free swap at start [MB]: 0
#
time(s):365.2 sum_rss(MB):6387.4 sum_vms(MB):8517.2 numproc:13 numthreads:29 mem_avail(MB/%):1912508/92.5% swap_avail(MB/%):0/100.0%
time(s):375.6 sum_rss(MB):4861.1 sum_vms(MB):6577.1 numproc:10 numthreads:25 mem_avail(MB/%):1915678/92.6% swap_avail(MB/%):0/100.0%
time(s):386.0 sum_rss(MB):6257.7 sum_vms(MB):8139.8 numproc:13 numthreads:33 mem_avail(MB/%):1913518/92.5% swap_avail(MB/%):0/100.0%
time(s):396.4 sum_rss(MB):6369.7 sum_vms(MB):8500.6 numproc:13 numthreads:33 mem_avail(MB/%):1912537/92.5% swap_avail(MB/%):0/100.0%
time(s):406.8 sum_rss(MB):6416.5 sum_vms(MB):8542.8 numproc:13 numthreads:33 mem_avail(MB/%):1913915/92.5% swap_avail(MB/%):0/100.0%
time(s):417.1 sum_rss(MB):6393.0 sum_vms(MB):8517.3 numproc:13 numthreads:33 mem_avail(MB/%):1912909/92.5% swap_avail(MB/%):0/100.0%
time(s):427.5 sum_rss(MB):6343.1 sum_vms(MB):8506.7 numproc:13 numthreads:33 mem_avail(MB/%):1912371/92.5% swap_avail(MB/%):0/100.0%
time(s):437.9 sum_rss(MB):4982.6 sum_vms(MB):6813.1 numproc:11 numthreads:21 mem_avail(MB/%):1913904/92.5% swap_avail(MB/%):0/100.0%
time(s):448.2 sum_rss(MB):4182.6 sum_vms(MB):5752.0 numproc:11 numthreads:27 mem_avail(MB/%):1916727/92.7% swap_avail(MB/%):0/100.0%
time(s):458.6 sum_rss(MB):4845.9 sum_vms(MB):6570.7 numproc:10 numthreads:25 mem_avail(MB/%):1916106/92.7% swap_avail(MB/%):0/100.0%
time(s):469.0 sum_rss(MB):6373.1 sum_vms(MB):8512.4 numproc:13 numthreads:33 mem_avail(MB/%):1914880/92.6% swap_avail(MB/%):0/100.0%
time(s):479.4 sum_rss(MB):6090.9 sum_vms(MB):7979.5 numproc:13 numthreads:33 mem_avail(MB/%):1915909/92.6% swap_avail(MB/%):0/100.0%
time(s):489.8 sum_rss(MB):6374.7 sum_vms(MB):8509.3 numproc:13 numthreads:33 mem_avail(MB/%):1913784/92.5% swap_avail(MB/%):0/100.0%
time(s):500.2 sum_rss(MB):4977.1 sum_vms(MB):6700.1 numproc:10 numthreads:25 mem_avail(MB/%):1914029/92.6% swap_avail(MB/%):0/100.0%
time(s):510.6 sum_rss(MB):6498.4 sum_vms(MB):8376.6 numproc:13 numthreads:30 mem_avail(MB/%):1913883/92.5% swap_avail(MB/%):0/100.0%
time(s):521.1 sum_rss(MB):6421.6 sum_vms(MB):8555.9 numproc:13 numthreads:33 mem_avail(MB/%):1912479/92.5% swap_avail(MB/%):0/100.0%
time(s):531.4 sum_rss(MB):6533.9 sum_vms(MB):8668.7 numproc:13 numthreads:33 mem_avail(MB/%):1912236/92.5% swap_avail(MB/%):0/100.0%
time(s):541.8 sum_rss(MB):6392.7 sum_vms(MB):8517.3 numproc:13 numthreads:33 mem_avail(MB/%):1912377/92.5% swap_avail(MB/%):0/100.0%
time(s):552.2 sum_rss(MB):6557.0 sum_vms(MB):8685.9 numproc:13 numthreads:33 mem_avail(MB/%):1912660/92.5% swap_avail(MB/%):0/100.0%
time(s):562.5 sum_rss(MB):6559.1 sum_vms(MB):8688.0 numproc:13 numthreads:28 mem_avail(MB/%):1914026/92.6% swap_avail(MB/%):0/100.0%
time(s):572.8 sum_rss(MB):4857.5 sum_vms(MB):6573.2 numproc:10 numthreads:25 mem_avail(MB/%):1916422/92.7% swap_avail(MB/%):0/100.0%
time(s):583.2 sum_rss(MB):4852.5 sum_vms(MB):6372.0 numproc:10 numthreads:24 mem_avail(MB/%):1915965/92.6% swap_avail(MB/%):0/100.0%
time(s):593.5 sum_rss(MB):6716.8 sum_vms(MB):8601.0 numproc:13 numthreads:31 mem_avail(MB/%):1914873/92.6% swap_avail(MB/%):0/100.0%
time(s):604.0 sum_rss(MB):6409.8 sum_vms(MB):8541.3 numproc:13 numthreads:33 mem_avail(MB/%):1914686/92.6% swap_avail(MB/%):0/100.0%
time(s):614.3 sum_rss(MB):4877.3 sum_vms(MB):6592.1 numproc:10 numthreads:25 mem_avail(MB/%):1918716/92.8% swap_avail(MB/%):0/100.0%
time(s):624.7 sum_rss(MB):6041.2 sum_vms(MB):7917.7 numproc:13 numthreads:31 mem_avail(MB/%):1914969/92.6% swap_avail(MB/%):0/100.0%
time(s):635.1 sum_rss(MB):6217.6 sum_vms(MB):8354.9 numproc:13 numthreads:32 mem_avail(MB/%):1912373/92.5% swap_avail(MB/%):0/100.0%
time(s):645.5 sum_rss(MB):4882.5 sum_vms(MB):6597.5 numproc:10 numthreads:25 mem_avail(MB/%):1913929/92.5% swap_avail(MB/%):0/100.0%
time(s):655.9 sum_rss(MB):4895.7 sum_vms(MB):6623.2 numproc:10 numthreads:26 mem_avail(MB/%):1913932/92.5% swap_avail(MB/%):0/100.0%
time(s):666.3 sum_rss(MB):6278.5 sum_vms(MB):8162.9 numproc:13 numthreads:32 mem_avail(MB/%):1912563/92.5% swap_avail(MB/%):0/100.0%
time(s):676.7 sum_rss(MB):6432.3 sum_vms(MB):8563.1 numproc:13 numthreads:33 mem_avail(MB/%):1912541/92.5% swap_avail(MB/%):0/100.0%
time(s):687.0 sum_rss(MB):6660.4 sum_vms(MB):8791.5 numproc:13 numthreads:33 mem_avail(MB/%):1912245/92.5% swap_avail(MB/%):0/100.0%
time(s):697.4 sum_rss(MB):6437.5 sum_vms(MB):8563.6 numproc:13 numthreads:33 mem_avail(MB/%):1912544/92.5% swap_avail(MB/%):0/100.0%
time(s):707.8 sum_rss(MB):5013.1 sum_vms(MB):6740.3 numproc:10 numthreads:26 mem_avail(MB/%):1916640/92.7% swap_avail(MB/%):0/100.0%
time(s):718.1 sum_rss(MB):5770.9 sum_vms(MB):7641.7 numproc:13 numthreads:33 mem_avail(MB/%):1913094/92.5% swap_avail(MB/%):0/100.0%
time(s):728.5 sum_rss(MB):4898.4 sum_vms(MB):6619.8 numproc:10 numthreads:26 mem_avail(MB/%):1915548/92.6% swap_avail(MB/%):0/100.0%
time(s):738.9 sum_rss(MB):6374.2 sum_vms(MB):8255.2 numproc:13 numthreads:31 mem_avail(MB/%):1915638/92.6% swap_avail(MB/%):0/100.0%
time(s):749.3 sum_rss(MB):6429.2 sum_vms(MB):8561.7 numproc:13 numthreads:33 mem_avail(MB/%):1912420/92.5% swap_avail(MB/%):0/100.0%
time(s):759.7 sum_rss(MB):6405.0 sum_vms(MB):8539.8 numproc:13 numthreads:29 mem_avail(MB/%):1913222/92.5% swap_avail(MB/%):0/100.0%
time(s):770.1 sum_rss(MB):6414.1 sum_vms(MB):8546.1 numproc:13 numthreads:33 mem_avail(MB/%):1914607/92.6% swap_avail(MB/%):0/100.0%
time(s):780.5 sum_rss(MB):6417.6 sum_vms(MB):8542.8 numproc:13 numthreads:31 mem_avail(MB/%):1914174/92.6% swap_avail(MB/%):0/100.0%
time(s):790.8 sum_rss(MB):6411.0 sum_vms(MB):8534.9 numproc:13 numthreads:31 mem_avail(MB/%):1913392/92.5% swap_avail(MB/%):0/100.0%
time(s):801.2 sum_rss(MB):4847.1 sum_vms(MB):6566.6 numproc:10 numthreads:25 mem_avail(MB/%):1914034/92.6% swap_avail(MB/%):0/100.0%
time(s):811.6 sum_rss(MB):4945.4 sum_vms(MB):6420.9 numproc:10 numthreads:26 mem_avail(MB/%):1913955/92.6% swap_avail(MB/%):0/100.0%
time(s):822.0 sum_rss(MB):6233.6 sum_vms(MB):8117.5 numproc:13 numthreads:33 mem_avail(MB/%):1912744/92.5% swap_avail(MB/%):0/100.0%
time(s):832.4 sum_rss(MB):6399.8 sum_vms(MB):8532.8 numproc:13 numthreads:33 mem_avail(MB/%):1912932/92.5% swap_avail(MB/%):0/100.0%
time(s):842.8 sum_rss(MB):4947.6 sum_vms(MB):6676.0 numproc:10 numthreads:26 mem_avail(MB/%):1918404/92.8% swap_avail(MB/%):0/100.0%
time(s):853.1 sum_rss(MB):3332.1 sum_vms(MB):4645.0 numproc:7 numthreads:18 mem_avail(MB/%):1917245/92.7% swap_avail(MB/%):0/100.0%
time(s):863.6 sum_rss(MB):6412.2 sum_vms(MB):8291.2 numproc:13 numthreads:33 mem_avail(MB/%):1912523/92.5% swap_avail(MB/%):0/100.0%
time(s):873.9 sum_rss(MB):6557.1 sum_vms(MB):8695.9 numproc:13 numthreads:33 mem_avail(MB/%):1915315/92.6% swap_avail(MB/%):0/100.0%
time(s):884.3 sum_rss(MB):6384.7 sum_vms(MB):8508.2 numproc:13 numthreads:33 mem_avail(MB/%):1913943/92.5% swap_avail(MB/%):0/100.0%
